org_id,pc1,pc2
ORG_060646844,0.0737718,-0.1366664
ORG_566049935,-0.11104293,-0.0034649358
ORG_520619000,0.053509086,-0.08034016
ORG_237065623,-0.084801316,0.018760266
ORG_131624060,0.06532699,0.20153272
ORG_203970624,-0.0315261,-0.099192455
ORG_222537423,0.14038643,-0.058929674
ORG_363241033,-0.09210299,-0.021962406
ORG_550638563,0.06338418,-0.113555655
ORG_060972166,0.11157676,-0.012802648
ORG_363490557,0.035257827,-0.13148569
ORG_132720248,0.026868911,0.019995477
ORG_311596262,0.12797958,0.17849635
ORG_222467092,0.067232616,0.028892916
ORG_230053483,-0.1029979,0.0033172297
ORG_610133681,0.045012206,-0.027527157
ORG_270566795,0.01700742,-0.048032124
ORG_815111613,0.0484472,-0.044867475
ORG_382905688,0.13524169,0.3329836
ORG_362167779,0.07667434,-0.059501715
ORG_420951695,0.11083646,0.17476363
ORG_042200583,0.017650291,-0.06752453
ORG_232142644,0.08139708,-0.02512076
ORG_474953714,0.032064594,-0.009401045
ORG_383001876,0.10674287,-0.084137075
ORG_161556654,0.13890913,-0.0295329
ORG_222682421,0.17023276,0.11105017
ORG_462223015,0.052753724,-0.042329878
ORG_112694987,0.08250611,0.07137815
ORG_132505742,0.010066676,-0.0453896
ORG_202059533,0.04255986,0.035119794
ORG_251601146,0.12032532,0.2575287
ORG_010212438,-0.026785253,-0.11696541
ORG_042103830,0.039042663,-0.071118735
ORG_061708088,0.07798766,0.1936861
ORG_541219280,0.006338256,-0.12264565
ORG_581816998,0.058145497,-0.07646604
ORG_261286022,0.05960474,0.08672067
ORG_362469118,0.018427633,-0.16399425
ORG_933574794,0.11188616,0.12757923
ORG_330660845,0.027695827,0.3085071
ORG_113015277,0.024640016,-0.18009304
ORG_841949748,0.07858724,-0.03333507
ORG_570945716,0.113913916,0.17598279
ORG_810960214,0.019576062,-0.041322883
ORG_042260254,0.076599896,0.0606179
ORG_884220122,0.086418174,-0.012051685
ORG_382708513,0.1952767,0.4677713
ORG_461068818,0.081311986,-0.026390804
ORG_135653140,-0.042704474,-0.17793483
ORG_854211960,0.06219874,-0.019824626
